year,Allegro,BNP Paribas,Bank Ochrony Środowiska,CCC,Ciech,CitiBank Handlowy,Enea,Eurocash,GPW,Grenevia/Famur,Grupa Kęty,ING,JSW,KGHM,Millenium Bank,Orange,PGE,PKN Orlen,PKO BP,PZU,Pekao,Santander,Tauron,Wirtualna Polska,mBank
2015,,,,,,,,,,,,,,,,505000.0,,,,,,,,,
2016,,,,,,,,,,,21123.0,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,8220000.0,,,,,,,,,,18441042.0,,
2019,7773.0,18984.0,,66289.0,3453603.0,18274.0,22039576.0,152359.0,,,,11296.0,7920000.0,4162188.0,22596.0,418700.0,60663255.0,20290222.0,113511.0,144441.0,,37146.0,12215945.0,8535.0,15422.0
2020,9192.0,,3055.0,47454.0,2783159.0,14801.0,18671299.0,144287.0,,,167507.0,8416.0,7180000.0,4641293.0,26777.0,404800.0,72504413.0,18974952.0,70939.0,132337.0,71982.0,9708.0,10529112.0,7065.0,9371.0
2021,11125.0,,,56962.0,2819053.0,7758.0,22708361.0,142429.0,3480.0,1466234.0,177718.0,8090.0,7920000.0,5183679.0,16683.0,366700.0,73169805.0,19237589.0,50692.0,126996.0,72257.0,21470.0,15383718.0,849.0,15945.0
2022,,,,,,,,,3480.0,,,,,,,,,,,,,,,,
2024,,,,,,9137.0,,,,,,,,,,,,,,6617.0,,,,,
2025,,8543.0,,34178.0,,,,,1740.0,,17955.0,,,,,176750.0,,,45404.0,,,,,255.0,
2026,,,,,2313914.0,,,,,,,,,,,,,,,,,,,,
2027,,,,,,,,,,,,,,,1339.0,,,,,,,,,,
2030,6897.0,,153.0,11392.0,,,,83687.0,174.0,879740.0,,565.0,5754000.0,3759447.0,,,,14041464.0,,,3613.0,,9036110.0,42.0,469.0
2040,,,,,172680.0,,,,,,,,,,,25250.0,,,,,,,,,
2050,,,,,,,933565.0,,,,,,,232065.0,,,3625221.0,948748.0,,,,485.0,922052.0,,
