year,type,company,emissions
2019,historical,Ciech,3453603.0
2019,target,Ciech,3449741.0
2019,historical,ING,11296.0
2019,target,ING,1511958.0
2019,historical,PKO BP,113511.0
2019,target,PKO BP,100722.0
2020,historical,Eurocash,144506.0
2020,target,Eurocash,144287.0
2020,historical,Grupa Azoty,9432000.0
2020,target,Grupa Azoty,9362000.0
2020,historical,KGHM,3592354.0
2020,target,KGHM,3045183.0
2020,historical,Millenium Bank,26777.0
2020,target,Millenium Bank,23680.0
2020,historical,PGE,59518765.0
2020,target,PGE,72504413.0
2020,historical,PZU,132337.0
2020,target,PZU,105583.0
2021,historical,Allegro,11702.0
2021,target,Allegro,11125.0
2021,historical,CCC,56962.0
2021,target,CCC,67961.0
